
1000	37	71	
2000	79	195	
3000	118	348	
4000	165	529	
5000	209	735	
6000	250	976	
7000	289	1226	
8000	336	1461	
9000	381	1807	
10000	473	2159	
11000	507	3715	
12000	535	2690	
13000	740	3027	
14000	693	3441	
15000	729	3731	
16000	783	5314	
17000	771	4488	
18000	940	6778	
19000	854	5432	
20000	1748	5690	
21000	962	6180	
22000	1381	6693	
23000	1098	7092	
24000	1090	8015	
25000	1264	8920	
26000	1272	10076	
27000	1607	9347	
28000	1638	9361	
29000	1396	9971	
30000	1446	10481	
31000	1466	10963	
32000	1496	11513	
33000	1606	12247	
34000	1604	13274	
35000	1630	13130	
36000	1696	13662	
37000	1859	14218	
38000	1865	14900	
39000	1924	15334	
40000	1938	15909	
41000	1918	16814	
42000	2028	17008	
43000	2145	19479	
44000	2141	18534	
45000	2221	19109	
46000	3219	19413	
47000	2246	20154	
48000	3283	20861	
49000	2354	21425	
50000	2443	22306	
51000	2551	22819	
52000	2718	23457	
53000	2677	24078	
54000	2917	24624	
55000	2954	25543	
56000	2885	26042	
57000	2894	26823	
58000	2802	27478	
59000	2872	28212	
60000	3083	33361	
61000	3075	29638	
62000	3381	30526	
63000	3140	30997	
64000	3227	31818	
65000	3518	32532	
66000	3395	33233	
67000	3605	34211	
68000	3242	39954	
69000	3454	37754	
70000	3508	36334	
71000	3710	36953	
72000	3754	38071	
73000	3689	40458	
74000	3711	39704	
75000	3791	40400	
76000	3746	41342	
77000	3995	41878	
78000	3889	42559	
79000	4140	43411	
80000	4048	44580	
81000	4212	45091	
82000	4494	45905	
83000	4502	50597	
84000	4079	47523	
85000	4323	48639	
86000	4751	50095	
87000	4443	50594	
88000	4818	50747	
89000	4751	52336	
90000	4657	52719	
91000	4587	53601	
92000	4595	55038	
93000	5195	57139	
94000	4902	56656	
95000	4799	57151	
96000	4899	58174	
97000	5071	60735	
98000	5262	59708	
99000	5895	60835	
